PROBABILIIES   AVERAGE    SD     LOWER_BOUND_CI   UPPER_BOUND_CI   
0.0             0.00     0.00          0.00           0.00   
0.05             1.88     3.79          1.13           2.63   
0.1             7.82     10.48          5.75           9.89   
0.15             27.08     24.90          22.15           32.01   
0.2             42.76     37.41          35.35           50.17   
0.25             54.86     39.70          47.00           62.72   
0.3             71.76     37.22          64.39           79.13   
0.35             70.80     40.39          62.80           78.80   
0.4             74.78     40.31          66.80           82.76   
0.45             74.30     42.19          65.95           82.65   
0.5             78.56     39.70          70.70           86.42   
0.55             82.60     36.45          75.38           89.82   
0.6             82.64     36.45          75.42           89.86   
0.65             78.82     39.84          70.93           86.71   
0.7             77.00     41.31          68.82           85.18   
0.75             81.14     38.40          73.54           88.74   
0.8             79.12     39.96          71.21           87.03   
0.85             93.00     23.74          88.30           97.70   
0.9             94.60     19.56          90.73           98.47   
0.95             81.18     38.42          73.57           88.79   
1.0             80.98     38.34          73.39           88.57   
